Listing,Price,Date posted,Distance from zip
Handmade cedar stump table ,700,Apr 9,18.5
Hanging coffee/spice rack ,80,Apr 9,18.5
Hanging Barnwood entryway organizer ,85,Apr 9,18.5
Rustic reclaimed pallet table ,195,Apr 9,18.5
Little Tikes Sports Car Twin Bed ,0,Apr 13,19.1
Lazy boy reclining chair ,85,Apr 12,19.1
"Bedroom, Sofa, Dining Table, China Closet, LR Tables ",100,Apr 10,19.1
file cabinet ,10,Apr 8,19.1
"storage cabinet, 2 pc ",20,Apr 8,19.1
Large hutch ,500,Apr 4,19.1
Queen size Bedroom Set ,250,Mar 31,19.1
Bedroom furniture set ,300,Apr 10,19.2
Outdoor furniture set ,650,Apr 10,19.2
